dimension1,dimension2,spearman_r,p_value,dataset,rater_type
FAMILIARITY_human,MEANINGFULNESS_human,0.9029983037303633,1.0139624006078554e-20,MB,human
FAMILIARITY_human,BODY_RELATEDNESS_human,0.3816975774095606,0.004400115328084129,MB,human
MEANINGFULNESS_human,BODY_RELATEDNESS_human,0.27599024055506843,0.04337596689773875,MB,human
FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,0.821153846153846,9.637443583686652e-17,MB,synthetic
FAMILIARITY_synthetic,BODY_RELATEDNESS_synthetic,0.4964800421575522,3.0133104856039214e-05,MB,synthetic
MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic,0.16735539556265364,0.18623487026211205,MB,synthetic
FAMILIARITY_human,MEANINGFULNESS_human,0.5673642953261823,4.07621314320843e-08,ME,human
FAMILIARITY_human,DIFFICULTY_human,-0.5680310485230726,3.8981856341126146e-08,ME,human
MEANINGFULNESS_human,DIFFICULTY_human,-0.7303392765434479,1.4974652566387183e-14,ME,human
FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,0.7331391428553616,1.0577262921723454e-14,ME,synthetic
FAMILIARITY_synthetic,DIFFICULTY_synthetic,-0.8297868599935033,1.885651618416524e-21,ME,synthetic
MEANINGFULNESS_synthetic,DIFFICULTY_synthetic,-0.48862357981114735,4.2573593612851295e-06,ME,synthetic
PHISICALITY_human,IMAGEABILITY_human,0.8047505227508739,1.340332843733636e-10,MI,human
PHISICALITY_synthetic,IMAGEABILITY_synthetic,0.8546309051130379,5.987816199038288e-13,MI,synthetic
FAMILIARITY_human,MEANINGFULNESS_human,0.8484001903418875,1.1596405064894964e-17,MM,human
FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,0.9390941928313422,1.3808659380399751e-28,MM,synthetic
FAMILIARITY_human,DIFFICULTY_human,-0.6013728186452011,1.1877313213581166e-12,BA,human
FAMILIARITY_human,MEANINGFULNESS_human,0.6917093970619512,1.1406519142441297e-17,BA,human
DIFFICULTY_human,MEANINGFULNESS_human,-0.8820606610899138,9.848859219442818e-39,BA,human
FAMILIARITY_synthetic,DIFFICULTY_synthetic,-0.94742095783879,9.503073350540146e-58,BA,synthetic
FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,0.8966907666983309,8.443976361372219e-42,BA,synthetic
DIFFICULTY_synthetic,MEANINGFULNESS_synthetic,-0.8369052738793996,2.365485034142118e-31,BA,synthetic
