kind,dataset,target,predictor,coef,std_err,p_value,R2,n_obs
synthetic,MB,annotator,const,0.9999999999999993,2.9644291392210126e-16,0.0,-inf,64
synthetic,MB,annotator,FAMILIARITY_synthetic,1.5265566588595902e-16,1.1971340100287173e-16,0.20716253142363872,-inf,64
synthetic,MB,annotator,MEANINGFULNESS_synthetic,-9.020562075079397e-17,8.664364040566833e-17,0.3020012535317184,-inf,64
synthetic,MB,annotator,BODY_RELATEDNESS_synthetic,1.0408340855860843e-17,3.4136593626457297e-17,0.7614953916394712,-inf,64
synthetic,MB,FAMILIARITY_synthetic,annotator,-0.03116834763171228,0.31702899366058906,0.9220054149042689,0.7091720056843531,64
synthetic,MB,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,0.5717867905846994,0.056812435618987696,1.3937149598723365e-14,0.7091720056843531,64
synthetic,MB,FAMILIARITY_synthetic,BODY_RELATEDNESS_synthetic,0.16812877157327938,0.029488744838155275,3.6871116813544763e-07,0.7091720056843531,64
synthetic,MB,MEANINGFULNESS_synthetic,annotator,1.9419317972902592,0.3606666753805635,1.2289611087655524e-06,0.6289819101146636,64
synthetic,MB,MEANINGFULNESS_synthetic,FAMILIARITY_synthetic,1.0915566347645553,0.10845649472529027,1.3937149598722765e-14,0.6289819101146636,64
synthetic,MB,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic,-0.16137377898855232,0.04601949026837659,0.000857727088752169,0.6289819101146636,64
synthetic,MB,BODY_RELATEDNESS_synthetic,annotator,1.6580924552126821,1.0914192842591253,0.13387670317616465,0.356047458325472,64
synthetic,MB,BODY_RELATEDNESS_synthetic,FAMILIARITY_synthetic,2.067698504459308,0.362661506592049,3.687111681354698e-07,0.356047458325472,64
synthetic,MB,BODY_RELATEDNESS_synthetic,MEANINGFULNESS_synthetic,-1.0395993215143835,0.29646595103183426,0.0008577270887521921,0.356047458325472,64
synthetic,ME,annotator,const,1.0000000000000004,1.553425506080123e-15,0.0,-inf,80
synthetic,ME,annotator,FAMILIARITY_synthetic,-3.0531133177191805e-16,3.8723619622886085e-16,0.4328936279010054,-inf,80
synthetic,ME,annotator,MEANINGFULNESS_synthetic,0.0,2.967235751976015e-16,1.0,-inf,80
synthetic,ME,annotator,DIFFICULTY_synthetic,-1.249000902703301e-16,2.5634187750696594e-16,0.6274905002839029,-inf,80
synthetic,ME,FAMILIARITY_synthetic,annotator,1.8675751499185178,0.40459800761875864,1.537437837857266e-05,0.9052402594479353,80
synthetic,ME,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,0.5312084663927163,0.06293387832029089,1.437735088702771e-12,0.9052402594479353,80
synthetic,ME,FAMILIARITY_synthetic,DIFFICULTY_synthetic,-0.2900593459227104,0.06781186419841284,5.37537055040544e-05,0.9052402594479353,80
synthetic,ME,MEANINGFULNESS_synthetic,annotator,1.60299765568324,0.5679578520695271,0.006062760916595979,0.8914257709485802,80
synthetic,ME,MEANINGFULNESS_synthetic,FAMILIARITY_synthetic,0.9047170455774359,0.10718457265432646,1.4377350887027815e-12,0.8914257709485802,80
synthetic,ME,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic,-0.2353238062186982,0.09472857877744224,0.015156397480057225,0.8914257709485802,80
synthetic,ME,DIFFICULTY_synthetic,annotator,5.7887770822309825,0.20428409576323533,1.755253484867012e-42,0.8310982638149504,80
synthetic,ME,DIFFICULTY_synthetic,FAMILIARITY_synthetic,-0.6619110518187604,0.1547456511514118,5.37537055040552e-05,0.8310982638149504,80
synthetic,ME,DIFFICULTY_synthetic,MEANINGFULNESS_synthetic,-0.31530499350489327,0.12692465924331894,0.015156397480056857,0.8310982638149504,80
synthetic,MI,annotator,const,0.9999999999999999,6.433722853891013e-17,0.0,-inf,42
synthetic,MI,annotator,PHISICALITY_synthetic,-3.469446951953614e-18,2.3934914652054336e-17,0.8854942151939988,-inf,42
synthetic,MI,annotator,IMAGEABILITY_synthetic,0.0,1.5995456916220265e-17,1.0,-inf,42
synthetic,MI,PHISICALITY_synthetic,annotator,2.185024770796797,0.24754043716090016,6.206324947319744e-11,0.6419391771192121,42
synthetic,MI,PHISICALITY_synthetic,IMAGEABILITY_synthetic,0.5354411044118197,0.06322854298728306,1.8534832458347322e-10,0.6419391771192121,42
synthetic,MI,IMAGEABILITY_synthetic,annotator,-1.385613946278193,0.5970410073409709,0.025479813252698675,0.641939177119212,42
synthetic,MI,IMAGEABILITY_synthetic,PHISICALITY_synthetic,1.1988978280335425,0.1415740447130038,1.8534832458347118e-10,0.641939177119212,42
synthetic,MM,annotator,const,0.9999999999999994,6.700699665313169e-16,0.0,-inf,60
synthetic,MM,annotator,FAMILIARITY_synthetic,-4.0245584642661925e-16,9.012583948107505e-17,3.830859368653208e-05,-inf,60
