FAMILIARITY_human,DIFFICULTY_human,MEANINGFULNESS_human,BODY_RELATEDNESS_human,PHISICALITY_human,IMAGEABILITY_human
2.133,2.667,2.8,5.884615385,1.85,3.842105263
2.733,1.933,3.933,2.192307692,3.684210526,4.333333333
2.933,2.2,3.533,3.0,3.0,4.315789474
1.6,3.2,2.267,3.307692308,2.105263158,3.888888889
2.133,3.267,2.2,5.769230769,1.526315789,2.833333333
1.733,3.0,2.4,4.115384615,1.7,4.315789474
1.667,2.467,2.8,5.192307692,1.35,3.315789474
3.667,2.267,3.467,1.346153846,2.473684211,3.111111111
1.933,3.4,2.0,5.076923077,6.105263158,6.444444444
2.0,3.467,2.467,3.458333333,3.578947368,3.555555556
2.667,3.067,2.6,2.291666667,5.45,5.263157895
2.467,2.467,2.733,5.153846154,2.15,3.789473684
2.133,2.933,2.667,5.846153846,1.894736842,2.222222222
3.267,3.467,2.267,2.416666667,3.55,4.315789474
1.533,2.6,2.8,5.115384615,1.526315789,4.055555556
3.067,2.2,3.6,5.961538462,6.1,6.157894737
2.133,2.733,3.067,2.615384615,3.789473684,3.888888889
2.333,2.4,3.0,5.346153846,4.5,4.894736842
2.8,2.533,3.267,5.653846154,2.35,3.631578947
1.333,2.933,2.333,5.730769231,1.7,3.157894737
2.667,2.733,3.333,5.807692308,1.631578947,4.111111111
2.333,2.133,3.533,5.153846154,5.368421053,5.0
1.533,3.467,2.133,5.769230769,3.105263158,4.5
2.533,2.733,2.533,5.653846154,5.7,5.210526316
3.867,2.4,3.8,6.291666667,3.789473684,3.944444444
2.4,3.6,2.533,5.541666667,2.3,4.157894737
2.0,2.6,3.533,5.416666667,4.85,5.578947368
2.6,2.667,3.133,6.5,2.05,3.368421053
2.867,2.667,3.2,6.333333333,3.0,4.578947368
3.133,3.133,2.467,5.208333333,1.263157895,3.611111111
2.533,2.067,3.6,5.958333333,2.947368421,3.944444444
1.867,3.267,2.533,5.583333333,4.157894737,4.833333333
2.333,2.667,3.0,6.791666667,4.263157895,5.611111111
3.067,2.6,3.267,6.375,2.5,4.473684211
2.067,2.867,2.4,5.833333333,1.95,3.736842105
2.2,2.6,3.0,4.666666667,1.368421053,3.111111111
3.4,2.467,2.733,5.625,2.0,2.888888889
3.0,2.467,3.133,5.916666667,1.9,3.421052632
1.8,3.067,1.733,6.166666667,3.368421053,3.833333333
1.4,4.0,1.667,5.25,6.7,6.421052632
2.6,2.733,2.533,2.423076923,6.578947368,6.5
3.067,2.467,3.467,3.153846154,6.4,5.473684211
2.333,3.333,2.067,2.115384615,,
1.933,3.133,2.6,2.923076923,,
3.867,2.533,3.067,2.692307692,,
2.467,3.067,2.933,1.807692308,,
2.6,1.933,3.733,1.730769231,,
2.0,2.733,2.733,3.115384615,,
1.4,3.4,2.4,1.961538462,,
2.0,3.067,2.533,2.615384615,,
1.8,3.333,2.533,1.653846154,,
2.2,2.667,2.6,2.884615385,,
1.867,2.533,2.867,2.166666667,,
2.067,3.4,2.333,1.666666667,,
3.0,2.667,3.267,1.916666667,,
3.2,3.0,3.133,2.0,,
2.333,3.533,2.467,1.708333333,,
1.667,3.6,1.8,2.916666667,,
1.267,3.867,2.0,2.291666667,,
2.267,3.667,2.267,2.375,,
2.333,4.067,1.933,2.708333333,,
1.8,3.6,1.933,3.5,,
1.867,3.2,2.067,1.75,,
2.267,3.933,2.0,1.833333333,,
1.867,3.667,2.2,,,
2.0,2.867,2.733,,,
1.4,3.667,2.467,,,
1.267,3.667,2.2,,,
1.6,3.467,2.2,,,
1.8,2.533,2.667,,,
2.333,2.867,2.933,,,
2.0,2.8,2.867,,,
1.8,3.667,2.0,,,
1.933,3.4,2.2,,,
2.2,2.467,2.933,,,
2.533,2.933,2.467,,,
1.867,3.667,2.333,,,
2.2,2.333,2.867,,,
2.6,3.733,2.067,,,
