dataset,dimension,human_col,synth_col,n_annot1,spearman_r_annot1,pval_annot1,n_mean,spearman_r_mean,pval_mean
MB,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,23,0.19825300724618533,0.36450555400448337,23,0.2513020490658545,0.24740609577576012
MB,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,59,0.24178029610789986,0.06505353471295844,59,0.3148247956941862,0.015158079447882992
MB,BODY_RELATEDNESS,BODY_RELATEDNESS_human,BODY_RELATEDNESS_synthetic,64,0.8386054923912999,5.263961365633781e-18,64,0.8170727583332683,1.8179701749019898e-16
ME,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,32,0.47075639605280944,0.0065431019751456265,32,0.46986926632565607,0.00665921513340954
ME,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,38,-0.010652446317345216,0.9493888831880407,38,0.09165487152226165,0.5841871415329695
ME,DIFFICULTY,DIFFICULTY_human,DIFFICULTY_synthetic,34,0.13155396076012518,0.4583146666335911,34,0.21966470674879587,0.21193639899463573
MI,PHISICALITY,PHISICALITY_human,PHISICALITY_synthetic,15,0.6659845624568081,0.006717715629711252,15,0.5860252696339446,0.021689615451914453
MI,IMAGEABILITY,IMAGEABILITY_human,IMAGEABILITY_synthetic,40,0.4732394574425037,0.002041907232089228,40,0.49455062701884184,0.0011794412458308672
MM,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,60,0.23375021658381454,0.07225225648311709,60,0.24788200520228093,0.05618278507358591
MM,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,60,0.026734664767612343,0.8393181247351883,60,0.1771715923818747,0.17566068309950514
