dataset,dimension,human_col,synth_col,n_annot1,spearman_r_annot1,pval_annot1,n_mean,spearman_r_mean,pval_mean
MB,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,54,0.32040783631117425,0.018173752595179768,54,0.36038714142363265,0.007429943695147751
MB,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,64,0.23682814046212028,0.059540005832564774,64,0.36493718090730604,0.003027364093837942
MB,BODY_RELATEDNESS,BODY_RELATEDNESS_human,BODY_RELATEDNESS_synthetic,64,0.8386054923912999,5.263961365633781e-18,64,0.8170727583332683,1.8179701749019898e-16
ME,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,80,0.3915756760292901,0.00032840811839550453,80,0.4153358273583935,0.00012762849206657327
ME,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,80,0.2803481909108598,0.011776376754148624,80,0.35204489031959857,0.0013628449956545022
ME,DIFFICULTY,DIFFICULTY_human,DIFFICULTY_synthetic,80,0.2776862455558458,0.012635981523702725,80,0.2144651142876623,0.05608992335133807
MI,PHISICALITY,PHISICALITY_human,PHISICALITY_synthetic,42,0.6322858130625572,7.0636510052814604e-06,42,0.5903598713708275,3.8674285241805676e-05
MI,IMAGEABILITY,IMAGEABILITY_human,IMAGEABILITY_synthetic,42,0.5195405148203812,0.0004220429523840605,42,0.5438351299969088,0.00019734882822937535
MM,FAMILIARITY,FAMILIARITY_human,FAMILIARITY_synthetic,60,0.23375021658381454,0.07225225648311709,60,0.24788200520228093,0.05618278507358591
MM,MEANINGFULNESS,MEANINGFULNESS_human,MEANINGFULNESS_synthetic,60,0.026734664767612343,0.8393181247351883,60,0.1771715923818747,0.17566068309950514
